區鄉,里村,納稅單位,綜合所得總額,平均數,,中位數,,第一分位數,第三分位數,標準差,變異係數
內湖區,安湖里,2642,2692165,,1019,,593,279,1228,1642.23,161.16
內湖區,秀湖里,2376,3118013,,1312,,632,268,1422,2841.27,216.51
內湖區,安泰里,1713,1323025,,772,,498,247,980,891.64,115.45
內湖區,金湖里,3631,7152057,,1970,,940,364,2233,4116.24,208.98
內湖區,康寧里,2930,3416956,,1166,,667,312,1550,1418.97,121.67
內湖區,明湖里,1867,1832763,,982,,603,269,1240,1279.60,130.35
內湖區,蘆洲里,401,243495,,607,,423,217,747,644.47,106.14
內湖區,麗山里,1999,2210237,,1106,,611,282,1311,1853.76,167.66
內湖區,寶湖里,3795,7651316,,2016,,1037,390,2393,3923.37,194.60
內湖區,南湖里,2053,3194233,,1556,,874,336,1890,2329.23,149.70
內湖區,其　他,90,81733,,908,,412,229,809,1761.01,193.91
內湖區,合　計,96543,111784249,,1158,,614,274,1346,2126.51,183.66
士林區,仁勇里,1217,991384,,815,,483,212,1036,1474.20,180.97
士林區,福林里,1006,1253308,,1246,,586,235,1226,2717.75,218.15
士林區,福志里,2736,3055793,,1117,,586,250,1321,2062.73,184.69
士林區,福德里,1484,1446889,,975,,559,225,1231,1470.55,150.83
士林區,福佳里,2632,2779402,,1056,,570,245,1237,1489.91,141.09
士林區,舊佳里,2108,2070981,,982,,549,250,1153,1489.39,151.60
士林區,富光里,1687,1128436,,669,,415,204,837,842.29,125.92
士林區,後港里,2655,2284369,,860,,511,234,1039,1122.33,130.44
士林區,前港里,1513,1408268,,931,,532,236,1159,1335.55,143.49
士林區,福中里,2128,1948588,,916,,527,250,1105,1241.99,135.63
士林區,葫蘆里,2242,1756462,,783,,495,227,986,924.04,117.95
士林區,福順里,1604,1154698,,720,,443,199,884,929.51,129.12
士林區,葫東里,1270,1001129,,788,,455,219,943,1062.15,134.74
士林區,社新里,2571,1782461,,693,,424,202,870,940.20,135.61
士林區,社子里,1907,1387111,,727,,449,213,899,908.59,124.91
士林區,永倫里,2138,1468501,,687,,444,201,842,968.76,141.04
士林區,翠山里,956,972309,,1017,,531,201,1190,1571.54,154.52
士林區,福安里,1275,796535,,625,,393,189,753,872.67,139.69
士林區,富洲里,1723,1167511,,678,,420,217,812,895.89,132.21
士林區,承德里,1903,1799195,,945,,550,236,1177,1338.04,141.52
士林區,蘭雅里,3050,3745170,,1228,,636,268,1351,3481.77,283.55
士林區,德行里,1622,1721428,,1061,,571,248,1193,1606.24,151.35
士林區,忠誠里,1956,2388100,,1221,,574,238,1210,2810.85,230.23
士林區,三玉里,2043,2734840,,1339,,625,275,1337,2740.27,204.71
士林區,芝山里,2642,3161401,,1197,,586,251,1303,2123.84,177.49
士林區,岩山里,1149,1341726,,1168,,550,238,1231,3744.25,320.64
士林區,義信里,1055,1141328,,1082,,525,237,1118,1854.35,171.41
士林區,永福里,399,1182226,,2963,,665,265,1383,17277.98,583.13
士林區,新安里,623,856568,,1375,,485,219,1212,3589.21,261.05
士林區,公館里,359,524796,,1462,,485,261,959,6509.15,445.27
士林區,陽明里,939,1331794,,1418,,541,249,1253,4150.75,292.65
士林區,菁山里,425,492351,,1158,,440,221,860,9103.88,785.85
